ScanList Name,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Priority1,Priority2,TX Channel,Signal Hold,Priority Sample,Flags
VK3RMC,Selected,,'3RMC TG8 S1,'3RMC TG9 S1 Loc,'3RMC TG13 WWE,'3RMC TG133 +USA,'3RMC TG143 +UK,'3RMC TG153 AU/NZ,'3RMC TG505 AU,'3RMC TG3802 NSW,'3RMC TG3803 Vic,,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
VK3RMM,Selected,'3RMM TG1 WW,'3RMM TG8 S1,'3RMM TG9 S1 Loc,'3RMM TG13 WWE,'3RMM TG133 +USA,'3RMM TG143 +UK,'3RMM TG153 AU/NZ,'3RMM TG505 AU,'3RMM TG3802 NSW,'3RMM TG3803 Vic,,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
VK3RPT,Selected,'3RPT TG1 WW,'3RPT TG8 S1,'3RPT TG9 S1 Loc,'3RPT TG13 WWE,'3RPT TG133 +USA,'3RPT TG143 +UK,'3RPT TG153 AU/NZ,'3RPT TG505 AU,'3RPT TG3802 NSW,'3RPT TG3803 Vic,,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
VK3RGL,Selected,'3RGL TG1 WW,'3RGL TG8 S1,'3RGL TG9 S1 Loc,'3RGL TG13 WWE,'3RGL TG133 +USA,'3RGL TG143 +UK,'3RGL TG153 AU/NZ,'3RGL TG505 AU,'3RGL TG3802 NSW,'3RGL TG3803 Vic,,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
VK3RPS,Selected,'3RPS TG1 WW,'3RPS TG8 S1,'3RPS TG9 S1 Loc,'3RPS TG13 WWE,'3RPS TG133 +USA,'3RPS TG143 +UK,'3RPS TG153 AU/NZ,'3RPS TG505 AU,'3RPS TG3802 NSW,'3RPS TG3803 Vic,,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
VK3RBQ,Selected,,'3RBQ TG8 S1,'3RBQ TG9 S1 Loc,'3RBQ TG13 WWE,'3RBQ TG133 +USA,'3RBQ TG143 +UK,'3RBQ TG153 AU/NZ,'3RBQ TG505 AU,'3RBQ TG3802 NSW,'3RBQ TG3803 Vic,,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
VK4RGX,Selected,'4RGX TG1 WW,'4RGX TG8 S1,'4RGX TG9 S1 Loc,'4RGX TG13 WWE,'4RGX TG133 +USA,'4RGX TG143 +UK,'4RGX TG153 AU/NZ,'4RGX TG505 AU,'4RGX TG3802 NSW,'4RGX TG3804 Qld,,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
VK4RMC,Selected,'4RMC TG1 WW,'4RMC TG8 S1,'4RMC TG9 S1 Loc,'4RMC TG13 WWE,'4RMC TG133 +USA,'4RMC TG143 +UK,'4RMC TG153 AU/NZ,'4RMC TG505 AU,'4RMC TG3802 NSW,'4RMC TG3804 Qld,,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
VK4RTQ,Selected,'4RTQ TG1 WW,'4RTQ TG8 S1,'4RTQ TG9 S1 Loc,'4RTQ TG13 WWE,'4RTQ TG133 +USA,'4RTQ TG143 +UK,'4RTQ TG153 AU/NZ,'4RTQ TG505 AU,'4RTQ TG3802 NSW,'4RTQ TG3804 Qld,,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
VK4RDU,Selected,'4RDU TG1 WW,'4RDU TG8 S1,'4RDU TG9 S1 Loc,'4RDU TG13 WWE,'4RDU TG133 +USA,'4RDU TG143 +UK,'4RDU TG153 AU/NZ,'4RDU TG505 AU,'4RDU TG3802 NSW,'4RDU TG3804 Qld,,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
VK4REG,Selected,'4REG TG1 WW,'4REG TG8 S1,'4REG TG9 S1 Loc,'4REG TG13 WWE,'4REG TG133 +USA,'4REG TG143 +UK,'4REG TG153 AU/NZ,'4REG TG505 AU,'4REG TG3802 NSW,'4REG TG3804 Qld,,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
VK4RBX,Selected,'4RBX TG1 WW,'4RBX TG8 S1,'4RBX TG9 S1 Loc,'4RBX TG13 WWE,'4RBX TG133 +USA,'4RBX TG143 +UK,'4RBX TG153 AU/NZ,'4RBX TG505 AU,'4RBX TG3802 NSW,'4RBX TG3804 Qld,,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
VK4RNX,Selected,'4RNX TG1 WW,'4RNX TG8 S1,'4RNX TG9 S1 Loc,'4RNX TG13 WWE,'4RNX TG133 +USA,'4RNX TG143 +UK,'4RNX TG153 AU/NZ,'4RNX TG505 AU,'4RNX TG3802 NSW,'4RNX TG3804 Qld,,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
VK4RBK,Selected,'4RBK TG1 WW,'4RBK TG8 S1,'4RBK TG9 S1 Loc,'4RBK TG13 WWE,'4RBK TG133 +USA,'4RBK TG143 +UK,'4RBK TG153 AU/NZ,'4RBK TG505 AU,'4RBK TG3802 NSW,'4RBK TG3804 Qld,,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
VK5RSF,Selected,'5RSF TG1 WW,'5RSF TG8 S1,'5RSF TG9 S1 Loc,'5RSF TG13 WWE,'5RSF TG133 +USA,'5RSF TG143 +UK,'5RSF TG153 AU/NZ,'5RSF TG505 AU,'5RSF TG3802 NSW,'5RSF TG3805 SA,,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
