VK3RTE,'3RTE TG1 WW,'3RTE TG8 S1,'3RTE TG9 S1 Loc,'3RTE TG13 WWE,'3RTE TG113 UA E1,'3RTE TG123 UA E2,'3RTE TG133 +USA,'3RTE TG143 +UK,'3RTE TG153 AU\NZ,'3RTE TG505 AU,'3RTE TG3802 NSW,'3RTE TG3803 Vic,,,,
VK3RMC,'3RMC TG8 S1,'3RMC TG9 S1 Loc,'3RMC TG13 WWE,'3RMC TG113 UA E1,'3RMC TG123 UA E2,'3RMC TG133 +USA,'3RMC TG143 +UK,'3RMC TG153 AU\NZ,'3RMC TG505 AU,'3RMC TG3802 NSW,'3RMC TG3803 Vic,,,,,
VK3RZU,'3RZU TG1 WW,'3RZU TG8 S1,'3RZU TG9 S1 Loc,'3RZU TG13 WWE,'3RZU TG113 UA E1,'3RZU TG123 UA E2,'3RZU TG133 +USA,'3RZU TG143 +UK,'3RZU TG153 AU\NZ,'3RZU TG505 AU,'3RZU TG3802 NSW,'3RZU TG3803 Vic,,,,
VK3RMM,'3RMM TG1 WW,'3RMM TG8 S1,'3RMM TG9 S1 Loc,'3RMM TG13 WWE,'3RMM TG113 UA E1,'3RMM TG123 UA E2,'3RMM TG133 +USA,'3RMM TG143 +UK,'3RMM TG153 AU\NZ,'3RMM TG505 AU,'3RMM TG3802 NSW,'3RMM TG3803 Vic,,,,
VK3RPT,'3RPT TG1 WW,'3RPT TG8 S1,'3RPT TG9 S1 Loc,'3RPT TG13 WWE,'3RPT TG113 UA E1,'3RPT TG123 UA E2,'3RPT TG133 +USA,'3RPT TG143 +UK,'3RPT TG153 AU\NZ,'3RPT TG505 AU,'3RPT TG3802 NSW,'3RPT TG3803 Vic,,,,
VK3RGL Geelng,'3RGL TG1 WW,'3RGL TG8 S1,'3RGL TG9 S1 Loc,'3RGL TG13 WWE,'3RGL TG113 UA E1,'3RGL TG123 UA E2,'3RGL TG133 +USA,'3RGL TG143 +UK,'3RGL TG153 AU\NZ,'3RGL TG505 AU,'3RGL TG3802 NSW,'3RGL TG3803 Vic,,,,
VK3RPS,'3RPS TG1 WW,'3RPS TG8 S1,'3RPS TG9 S1 Loc,'3RPS TG13 WWE,'3RPS TG113 UA E1,'3RPS TG123 UA E2,'3RPS TG133 +USA,'3RPS TG143 +UK,'3RPS TG153 AU\NZ,'3RPS TG505 AU,'3RPS TG3802 NSW,'3RPS TG3803 Vic,,,,
VK3RBQ,'3RBQ TG8 S1,'3RBQ TG9 S1 Loc,'3RBQ TG13 WWE,'3RBQ TG113 UA E1,'3RBQ TG123 UA E2,'3RBQ TG133 +USA,'3RBQ TG143 +UK,'3RBQ TG153 AU\NZ,'3RBQ TG505 AU,'3RBQ TG3802 NSW,'3RBQ TG3803 Vic,,,,,
VK4RGX,'4RGX TG1 WW,'4RGX TG8 S1,'4RGX TG9 S1 Loc,'4RGX TG13 WWE,'4RGX TG113 UA E1,'4RGX TG123 UA E2,'4RGX TG133 +USA,'4RGX TG143 +UK,'4RGX TG153 AU\NZ,'4RGX TG505 AU,'4RGX TG3802 NSW,'4RGX TG3804 Qld,,,,
VK4RMC,'4RMC TG1 WW,'4RMC TG8 S1,'4RMC TG9 S1 Loc,'4RMC TG13 WWE,'4RMC TG113 UA E1,'4RMC TG123 UA E2,'4RMC TG133 +USA,'4RMC TG143 +UK,'4RMC TG153 AU\NZ,'4RMC TG505 AU,'4RMC TG3802 NSW,'4RMC TG3804 Qld,,,,
VK4RTQ,'4RTQ TG1 WW,'4RTQ TG8 S1,'4RTQ TG9 S1 Loc,'4RTQ TG13 WWE,'4RTQ TG113 UA E1,'4RTQ TG123 UA E2,'4RTQ TG133 +USA,'4RTQ TG143 +UK,'4RTQ TG153 AU\NZ,'4RTQ TG505 AU,'4RTQ TG3802 NSW,'4RTQ TG3804 Qld,,,,
VK4RDU,'4RDU TG1 WW,'4RDU TG8 S1,'4RDU TG9 S1 Loc,'4RDU TG13 WWE,'4RDU TG113 UA E1,'4RDU TG123 UA E2,'4RDU TG133 +USA,'4RDU TG143 +UK,'4RDU TG153 AU\NZ,'4RDU TG505 AU,'4RDU TG3802 NSW,'4RDU TG3804 Qld,,,,
VK4REG,'4REG TG1 WW,'4REG TG8 S1,'4REG TG9 S1 Loc,'4REG TG13 WWE,'4REG TG113 UA E1,'4REG TG123 UA E2,'4REG TG133 +USA,'4REG TG143 +UK,'4REG TG153 AU\NZ,'4REG TG505 AU,'4REG TG3802 NSW,'4REG TG3804 Qld,,,,
VK4RBX,'4RBX TG1 WW,'4RBX TG8 S1,'4RBX TG9 S1 Loc,'4RBX TG13 WWE,'4RBX TG113 UA E1,'4RBX TG123 UA E2,'4RBX TG133 +USA,'4RBX TG143 +UK,'4RBX TG153 AU\NZ,'4RBX TG505 AU,'4RBX TG3802 NSW,'4RBX TG3804 Qld,,,,
VK4RNX,'4RNX TG1 WW,'4RNX TG8 S1,'4RNX TG9 S1 Loc,'4RNX TG13 WWE,'4RNX TG113 UA E1,'4RNX TG123 UA E2,'4RNX TG133 +USA,'4RNX TG143 +UK,'4RNX TG153 AU\NZ,'4RNX TG505 AU,'4RNX TG3802 NSW,'4RNX TG3804 Qld,,,,
VK5RSF,'5RSF TG1 WW,'5RSF TG8 S1,'5RSF TG9 S1 Loc,'5RSF TG13 WWE,'5RSF TG113 UA E1,'5RSF TG123 UA E2,'5RSF TG133 +USA,'5RSF TG143 +UK,'5RSF TG153 AU\NZ,'5RSF TG505 AU,'5RSF TG3802 NSW,'5RSF TG3805 SA,,,,
VK6RDM,'6RDM TG1 WW,'6RDM TG8 S1,'6RDM TG9 S1 Loc,'6RDM TG13 WWE,'6RDM TG113 UA E1,'6RDM TG123 UA E2,'6RDM TG133 +USA,'6RDM TG143 +UK,'6RDM TG153 AU\NZ,'6RDM TG505 AU,'6RDM TG3802 NSW,'6RDM TG3806 WA,,,,
VK6RLM,'6RLM TG1 WW,'6RLM TG8 S1,'6RLM TG9 S1 Loc,'6RLM TG13 WWE,'6RLM TG113 UA E1,'6RLM TG123 UA E2,'6RLM TG133 +USA,'6RLM TG143 +UK,'6RLM TG153 AU\NZ,'6RLM TG505 AU,'6RLM TG3802 NSW,'6RLM TG3806 WA,,,,
VK6RRR,'6RRR TG1 WW,'6RRR TG8 S1,'6RRR TG9 S1 Loc,'6RRR TG13 WWE,'6RRR TG113 UA E1,'6RRR TG123 UA E2,'6RRR TG133 +USA,'6RRR TG143 +UK,'6RRR TG153 AU\NZ,'6RRR TG505 AU,'6RRR TG3802 NSW,'6RRR TG3806 WA,,,,
VK6RPT,'6RPT TG1 WW,'6RPT TG8 S1,'6RPT TG9 S1 Loc,'6RPT TG13 WWE,'6RPT TG113 UA E1,'6RPT TG123 UA E2,'6RPT TG133 +USA,'6RPT TG143 +UK,'6RPT TG153 AU\NZ,'6RPT TG505 AU,'6RPT TG3802 NSW,'6RPT TG3806 WA,,,,
VK7RCR,'7RCR TG1 WW,'7RCR TG8 S1,'7RCR TG9 S1 Loc,'7RCR TG13 WWE,'7RCR TG113 UA E1,'7RCR TG123 UA E2,'7RCR TG133 +USA,'7RCR TG143 +UK,'7RCR TG153 AU\NZ,'7RCR TG505 AU,'7RCR TG3802 NSW,'7RCR TG3807 Tas,,,,
VK7RJD,'7RAA TG1 WW,'7RAA TG8 S1,'7RAA TG9 S1 Loc,'7RAA TG13 WWE,'7RAA TG113 UA E1,'7RAA TG123 UA E2,'7RAA TG133 +USA,'7RAA TG143 +UK,'7RAA TG153 AU\NZ,'7RAA TG505 AU,'7RAA TG3802 NSW,'7RAA TG3807 Tas,,,,
SA Analog,VK5RAC 2mLEyrPn,VK5RAD 2m Crfrs,VK5RAH 2mAdlHls,VK5RBK 2m MtBkr,VK5RBT 2m Bdtwn,VK5RBV 2m Brosa,VK5RHO 2m Adlde,VK5RLD 2m Rvlnd,VK5RLH 2m CntNt,VK5RLZ 2m AdNth,VK5RMB 2m MBdge,VK5RMG 2m MtGmb,VK5RMN 2m PtPri,VK5RSE 2m Mlcnt,VK5RSV 2mAdlSth,
NE Vic Analog,VK2RWB 2m Mlwala,VK2RWB 7 Mulwala,,,,,,,,,,,,,,
CB,WJSP,'4RDU9.2 SPX DMR,CB30,CB40,CB25,CB26,CD17,CB18,CB29,CB10,CB11,CB12,CB13,CB14,CB15,CB16
NE Vic Analog,VK2RWB 2m Mlwala,VK2RWB 7 Mulwala,,,,,,,,,,,,,,
